timestamp,consumption,hour,dayofweek,month,year,dayofyear,quarter,consumption_lag_1d,consumption_lag_1w,consumption_rolling_mean_24h,consumption_rolling_std_24h
2020-01-08 00:00:00,35.38627703360616,0,2,1,2020,8,1,39.21291764870859,35.249809777709345,34.49427824511324,8.028915632617062
2020-01-08 01:00:00,35.44279452882425,1,2,1,2020,8,1,42.842480664300425,44.52371101601579,34.1859579894684,7.834111336102829
2020-01-08 02:00:00,42.25822819900589,2,2,1,2020,8,1,45.10116574222901,42.694793323293695,34.067502258500774,7.681906844384818
2020-01-08 03:00:00,46.68692439885514,3,2,1,2020,8,1,41.677892414085335,47.65144137919758,34.276211924532845,7.9606512652986074
2020-01-08 04:00:00,42.37841508159117,4,2,1,2020,8,1,46.50134364950639,47.62387454476831,34.10442323420305,7.726405471873691
2020-01-08 05:00:00,46.23100252218104,5,2,1,2020,8,1,45.26207772076536,44.61708829848182,34.1447951009287,7.7895147171124295
2020-01-08 06:00:00,44.04048193077576,6,2,1,2020,8,1,42.34994080383383,41.58867854524651,34.21523431455128,7.874122533826654
2020-01-08 07:00:00,42.55420407460845,7,2,1,2020,8,1,40.14711998869399,42.06012037429544,34.315529484797715,7.967737283645126
2020-01-08 08:00:00,40.83328407736032,8,2,1,2020,8,1,44.72497644114012,42.9678695960126,34.15337563630689,7.784166613082844
2020-01-08 09:00:00,40.27856702062629,9,2,1,2020,8,1,35.47205645424219,42.31043742995311,34.35364690990623,7.880799979221998
2020-01-08 10:00:00,38.49096967646119,10,2,1,2020,8,1,32.35771736288453,38.63688452612861,34.60919908963859,7.9126413171198555
2020-01-08 11:00:00,34.851570245218795,11,2,1,2020,8,1,39.7257917911989,33.30244591347664,34.406106525222754,7.837803693188642
2020-01-08 12:00:00,31.696381178808657,12,2,1,2020,8,1,33.052194520902546,33.97010422141025,34.3496143026355,7.8528581772237365
2020-01-08 13:00:00,31.630842537871164,13,2,1,2020,8,1,33.322464322943404,31.165314379698504,34.27913006159083,7.870051173351682
2020-01-08 14:00:00,20.369552044359768,14,2,1,2020,8,1,26.58095759470017,24.161422590102493,34.02032149699331,8.228196913186187
2020-01-08 15:00:00,29.57585117903989,15,2,1,2020,8,1,26.23264558788848,26.985991269710265,34.159621729957955,8.11818643592503
2020-01-08 16:00:00,26.40282393990833,16,2,1,2020,8,1,25.32925705478525,24.250601271963152,34.20435368350475,8.070230916660694
2020-01-08 17:00:00,19.363267412714123,17,2,1,2020,8,1,25.71195665693224,24.31230668462576,33.93982496499566,8.45555142037345
2020-01-08 18:00:00,22.47460011624852,18,2,1,2020,8,1,22.318106750448727,26.3694036397284,33.946345521903986,8.446254822390673
2020-01-08 19:00:00,25.396560525786263,19,2,1,2020,8,1,27.91890159129655,28.524213220751403,33.84124797750772,8.539691785906806
2020-01-08 20:00:00,33.545354903302325,20,2,1,2020,8,1,22.49402734332783,31.35665175955552,34.30171995917333,8.192109228980422
2020-01-08 21:00:00,30.2598741996444,21,2,1,2020,8,1,23.56437040067424,30.027468833497306,34.58069928413042,7.920043279750816
2020-01-08 22:00:00,30.225745906553826,22,2,1,2020,8,1,36.624348984429005,34.441706791097,34.31409082255229,7.9558733044057615
2020-01-08 23:00:00,34.43053083524555,23,2,1,2020,8,1,33.1646070079031,37.982542591663794,34.36683764869155,7.952116569750698
2020-01-09 00:00:00,41.919185796792775,0,3,1,2020,9,1,35.38627703360616,39.67681289556361,34.639042180490996,8.098985580907577
2020-01-09 01:00:00,42.23538579632165,1,3,1,2020,9,1,35.44279452882425,40.836101672895246,34.92206681663672,8.24565234304556
2020-01-09 02:00:00,38.23269042645496,2,3,1,2020,9,1,42.25822819900589,44.56373875286166,34.754336076113766,8.130067001597544
2020-01-09 03:00:00,45.89585006401154,3,3,1,2020,9,1,46.68692439885514,40.82300015117899,34.72137464549528,8.081041560831553
2020-01-09 04:00:00,44.529349436718704,4,3,1,2020,9,1,42.37841508159117,44.46459983730183,34.81099691029227,8.180963273617301
2020-01-09 05:00:00,50.81493810904438,5,3,1,2020,9,1,46.23100252218104,46.53868147707843,35.00199422641157,8.50621708251374
2020-01-09 06:00:00,43.91720407108625,6,3,1,2020,9,1,44.04048193077576,47.61469716892056,34.996857648924504,8.500557121455348
2020-01-09 07:00:00,38.881529338765525,7,3,1,2020,9,1,42.55420407460845,44.83482890452859,34.843829534931054,8.390944933780123
